municipality_code,municipality,party,vote_pct
1445,Essunga,Centre Party (C),0.06575342465753425
1446,Karlsborg,Centre Party (C),0.0581248875292424
1447,Gullspång,Centre Party (C),0.041201290642839415
1452,Åmål,Centre Party (C),0.06936866718628215
1460,Lilla Edet,Centre Party (C),0.04554455445544555
1461,Mellerud,Centre Party (C),0.060268824974707334
1462,Bengtsfors,Centre Party (C),0.03924158098292614
1463,Mariestad,Centre Party (C),0.06269662921348314
1465,Lidköping,Centre Party (C),0.052457002457002466
1466,Götene,Centre Party (C),0.07302064816080951
1470,Tibro,Centre Party (C),0.061789017104509375
1471,Töreboda,Centre Party (C),0.06364963503649634
1472,Vara,Centre Party (C),0.04976275893993751
1473,Skara,Centre Party (C),0.051736357193479805
1480,Göteborg,Centre Party (C),0.04485657639319046
1481,Mölndal,Centre Party (C),0.05975933497393765
1482,Kungälv,Centre Party (C),0.05356369150779896
1484,Lysekil,Centre Party (C),0.03745813502555966
1485,Uddevalla,Centre Party (C),0.041312526125121915
1486,Strömstad,Centre Party (C),0.04469580496376016
1487,Västra Götaland,Centre Party (C),0.045525330505947446
1488,Trollhättan,Centre Party (C),0.042303226247125514
1489,Alingsås,Centre Party (C),0.058736782655078285
1490,Borås,Centre Party (C),0.04729907144391664
1491,Ulricehamn,Centre Party (C),0.07484714315833861
1492,Tranemo,Centre Party (C),0.03912363067292645
1493,Bengtsfors,Centre Party (C),0.04493224094398928
1494,Lidköping,Centre Party (C),0.055017926833137665
1495,Skara,Centre Party (C),0.05158339197748065
1496,Skövde,Centre Party (C),0.05276893844005403
1497,Hjo,Centre Party (C),0.05641807596340449
1498,Tidaholm,Centre Party (C),0.042544651816175
1499,Falköping,Centre Party (C),0.058684030708629764
1715,Kil,Centre Party (C),0.05539421318704959
1730,Eda,Centre Party (C),0.04452180285818981
1737,Torsby,Centre Party (C),0.04631530914898471
1760,Storfors,Centre Party (C),0.0352522639068564
1761,Hammarö,Centre Party (C),0.05884736970089974
1762,Munkfors,Centre Party (C),0.04384672070744289
1763,Forshaga,Centre Party (C),0.0401178603807797
1764,Grums,Centre Party (C),0.04027617951668584
1765,Årjäng,Centre Party (C),0.05365429234338747
1766,Sunne,Centre Party (C),0.07803329163860291
1780,Karlstad,Centre Party (C),0.053643738222834
1781,Kristinehamn,Centre Party (C),0.048878332013723935
1782,Filipstad,Centre Party (C),0.023830993172742496
1783,Hagfors,Centre Party (C),0.03445549028468142
1784,Arvika,Centre Party (C),0.04792557203922555
1785,Säffle,Centre Party (C),0.07312473210458638
1814,Lekeberg,Centre Party (C),0.08177386381506527
1860,Laxå,Centre Party (C),0.037569573283858994
1861,Hallsberg,Centre Party (C),0.04970662196144174
1862,Degerfors,Centre Party (C),0.031518240343347645
1863,Hällefors,Centre Party (C),0.033133732534930134
1864,Ljusnarsberg,Centre Party (C),0.020179372197309416
1880,Örebro,Centre Party (C),0.05703747668305919
