municipality,gender,age_group,N
Akersloot,Vrouwen,55-59,0.0
Akersloot,Vrouwen,60-64,0.0
Akersloot,Vrouwen,65-69,0.0
Akersloot,Vrouwen,70-74,0.0
Akersloot,Vrouwen,75+,0.0
Alblasserdam,Mannen,15-19,637.0
Alblasserdam,Mannen,20-24,646.0
Alblasserdam,Mannen,25-29,596.0
Alblasserdam,Mannen,30-34,639.0
Alblasserdam,Mannen,35-39,623.0
Alblasserdam,Mannen,40-44,513.0
Alblasserdam,Mannen,45-49,553.0
Alblasserdam,Mannen,50-54,665.0
Alblasserdam,Mannen,55-59,752.0
Alblasserdam,Mannen,60-64,618.0
Alblasserdam,Mannen,65-69,525.0
Alblasserdam,Mannen,70-74,412.0
Alblasserdam,Mannen,75+,102.0
Alblasserdam,Vrouwen,15-19,606.0
Alblasserdam,Vrouwen,20-24,553.0
Alblasserdam,Vrouwen,25-29,589.0
Alblasserdam,Vrouwen,30-34,629.0
Alblasserdam,Vrouwen,35-39,598.0
Alblasserdam,Vrouwen,40-44,580.0
Alblasserdam,Vrouwen,45-49,558.0
Alblasserdam,Vrouwen,50-54,705.0
Alblasserdam,Vrouwen,55-59,775.0
Alblasserdam,Vrouwen,60-64,618.0
Alblasserdam,Vrouwen,65-69,509.0
Alblasserdam,Vrouwen,70-74,517.0
Alblasserdam,Vrouwen,75+,98.0
Albrandswaard,Mannen,15-19,891.0
Albrandswaard,Mannen,20-24,756.0
Albrandswaard,Mannen,25-29,513.0
Albrandswaard,Mannen,30-34,688.0
Albrandswaard,Mannen,35-39,781.0
Albrandswaard,Mannen,40-44,870.0
Albrandswaard,Mannen,45-49,910.0
Albrandswaard,Mannen,50-54,1098.0
Albrandswaard,Mannen,55-59,1003.0
Albrandswaard,Mannen,60-64,882.0
Albrandswaard,Mannen,65-69,814.0
Albrandswaard,Mannen,70-74,555.0
Albrandswaard,Mannen,75+,147.0
Albrandswaard,Vrouwen,15-19,864.0
Albrandswaard,Vrouwen,20-24,645.0
Albrandswaard,Vrouwen,25-29,527.0
Albrandswaard,Vrouwen,30-34,712.0
Albrandswaard,Vrouwen,35-39,825.0
Albrandswaard,Vrouwen,40-44,929.0
Albrandswaard,Vrouwen,45-49,969.0
Albrandswaard,Vrouwen,50-54,1130.0
Albrandswaard,Vrouwen,55-59,993.0
Albrandswaard,Vrouwen,60-64,985.0
Albrandswaard,Vrouwen,65-69,733.0
Albrandswaard,Vrouwen,70-74,631.0
Albrandswaard,Vrouwen,75+,140.0
Alkemade,Mannen,15-19,0.0
Alkemade,Mannen,20-24,0.0
Alkemade,Mannen,25-29,0.0
Alkemade,Mannen,30-34,0.0
Alkemade,Mannen,35-39,0.0
Alkemade,Mannen,40-44,0.0
Alkemade,Mannen,45-49,0.0
Alkemade,Mannen,50-54,0.0
Alkemade,Mannen,55-59,0.0
Alkemade,Mannen,60-64,0.0
Alkemade,Mannen,65-69,0.0
Alkemade,Mannen,70-74,0.0
Alkemade,Mannen,75+,0.0
Alkemade,Vrouwen,15-19,0.0
Alkemade,Vrouwen,20-24,0.0
Alkemade,Vrouwen,25-29,0.0
Alkemade,Vrouwen,30-34,0.0
Alkemade,Vrouwen,35-39,0.0
Alkemade,Vrouwen,40-44,0.0
Alkemade,Vrouwen,45-49,0.0
Alkemade,Vrouwen,50-54,0.0
Alkemade,Vrouwen,55-59,0.0
Alkemade,Vrouwen,60-64,0.0
Alkemade,Vrouwen,65-69,0.0
Alkemade,Vrouwen,70-74,0.0
Alkemade,Vrouwen,75+,0.0
Alkmaar,Mannen,15-19,3107.0
Alkmaar,Mannen,20-24,3158.0
Alkmaar,Mannen,25-29,3533.0
Alkmaar,Mannen,30-34,3960.0
Alkmaar,Mannen,35-39,3658.0
Alkmaar,Mannen,40-44,3438.0
Alkmaar,Mannen,45-49,3474.0
Alkmaar,Mannen,50-54,4097.0
Alkmaar,Mannen,55-59,3853.0
Alkmaar,Mannen,60-64,3752.0
Alkmaar,Mannen,65-69,3315.0
Alkmaar,Mannen,70-74,2841.0
Alkmaar,Mannen,75+,545.0
Alkmaar,Vrouwen,15-19,2827.0
Alkmaar,Vrouwen,20-24,3078.0
Alkmaar,Vrouwen,25-29,3597.0
Alkmaar,Vrouwen,30-34,3887.0
Alkmaar,Vrouwen,35-39,3724.0
Alkmaar,Vrouwen,40-44,3479.0
Alkmaar,Vrouwen,45-49,3472.0
Alkmaar,Vrouwen,50-54,3927.0
Alkmaar,Vrouwen,55-59,3984.0
Alkmaar,Vrouwen,60-64,3960.0
Alkmaar,Vrouwen,65-69,3599.0
Alkmaar,Vrouwen,70-74,3211.0
Alkmaar,Vrouwen,75+,666.0
Almelo,Mannen,15-19,2338.0
Almelo,Mannen,20-24,2466.0
Almelo,Mannen,25-29,2429.0
Almelo,Mannen,30-34,2367.0
Almelo,Mannen,35-39,2307.0
Almelo,Mannen,40-44,2264.0
Almelo,Mannen,45-49,2284.0
Almelo,Mannen,50-54,2806.0
Almelo,Mannen,55-59,2753.0
Almelo,Mannen,60-64,2542.0
Almelo,Mannen,65-69,2064.0
Almelo,Mannen,70-74,1867.0
Almelo,Mannen,75+,349.0
Almelo,Vrouwen,15-19,2159.0
Almelo,Vrouwen,20-24,2224.0
Almelo,Vrouwen,25-29,2151.0
Almelo,Vrouwen,30-34,2305.0
Almelo,Vrouwen,35-39,2177.0
Almelo,Vrouwen,40-44,2271.0
Almelo,Vrouwen,45-49,2230.0
Almelo,Vrouwen,50-54,2759.0
Almelo,Vrouwen,55-59,2603.0
Almelo,Vrouwen,60-64,2488.0
Almelo,Vrouwen,65-69,2208.0
Almelo,Vrouwen,70-74,2030.0
Almelo,Vrouwen,75+,411.0
Almere,Mannen,15-19,7075.0
Almere,Mannen,20-24,7202.0
Almere,Mannen,25-29,7102.0
Almere,Mannen,30-34,8901.0
Almere,Mannen,35-39,9099.0
Almere,Mannen,40-44,7775.0
Almere,Mannen,45-49,6718.0
Almere,Mannen,50-54,7611.0
Almere,Mannen,55-59,7572.0
Almere,Mannen,60-64,7375.0
Almere,Mannen,65-69,5886.0
Almere,Mannen,70-74,4235.0
Almere,Mannen,75+,665.0
Almere,Vrouwen,15-19,6706.0
Almere,Vrouwen,20-24,6754.0
Almere,Vrouwen,25-29,7078.0
Almere,Vrouwen,30-34,9324.0
Almere,Vrouwen,35-39,9104.0
Almere,Vrouwen,40-44,8103.0
Almere,Vrouwen,45-49,7417.0
Almere,Vrouwen,50-54,7967.0
Almere,Vrouwen,55-59,7983.0
Almere,Vrouwen,60-64,7592.0
Almere,Vrouwen,65-69,6106.0
Almere,Vrouwen,70-74,4050.0
Almere,Vrouwen,75+,731.0
Alphen aan den Rijn,Mannen,15-19,3347.0
Alphen aan den Rijn,Mannen,20-24,3411.0
Alphen aan den Rijn,Mannen,25-29,3378.0
Alphen aan den Rijn,Mannen,30-34,3959.0
Alphen aan den Rijn,Mannen,35-39,3672.0
Alphen aan den Rijn,Mannen,40-44,3642.0
Alphen aan den Rijn,Mannen,45-49,3498.0
Alphen aan den Rijn,Mannen,50-54,4079.0
Alphen aan den Rijn,Mannen,55-59,4211.0
Alphen aan den Rijn,Mannen,60-64,3786.0
Alphen aan den Rijn,Mannen,65-69,3223.0
Alphen aan den Rijn,Mannen,70-74,2948.0
Alphen aan den Rijn,Mannen,75+,531.0
Alphen aan den Rijn,Vrouwen,15-19,3262.0
