municipality,gender,age_group,education,N
Roosendaal,Mannen,15 tot 75 jaar,low,8408.0
Rotterdam,Mannen,15 tot 75 jaar,low,78150.0
Rozendaal,Mannen,15 tot 75 jaar,low,
Rucphen,Mannen,15 tot 75 jaar,low,2883.0
Schagen,Mannen,15 tot 75 jaar,low,4620.0
Schermer,Mannen,15 tot 75 jaar,low,
Scherpenzeel,Mannen,15 tot 75 jaar,low,1113.0
Schiedam,Mannen,15 tot 75 jaar,low,9546.0
Schiermonnikoog,Mannen,15 tot 75 jaar,low,
Schijndel,Mannen,15 tot 75 jaar,low,
Schinnen,Mannen,15 tot 75 jaar,low,
Schoonhoven,Mannen,15 tot 75 jaar,low,
Schouwen-Duiveland,Mannen,15 tot 75 jaar,low,3160.0
Simpelveld,Mannen,15 tot 75 jaar,low,955.0
Sint Anthonis,Mannen,15 tot 75 jaar,low,
Sint-Michielsgestel,Mannen,15 tot 75 jaar,low,2811.0
Sint-Oedenrode,Mannen,15 tot 75 jaar,low,
Sittard-Geleen,Mannen,15 tot 75 jaar,low,10231.0
Skarsterlân,Mannen,15 tot 75 jaar,low,
Sliedrecht,Mannen,15 tot 75 jaar,low,3331.0
Slochteren,Mannen,15 tot 75 jaar,low,
Sluis,Mannen,15 tot 75 jaar,low,2335.0
Smallingerland,Mannen,15 tot 75 jaar,low,5830.0
Soest,Mannen,15 tot 75 jaar,low,4395.0
Someren,Mannen,15 tot 75 jaar,low,2572.0
Son en Breugel,Mannen,15 tot 75 jaar,low,1261.0
Spijkenisse,Mannen,15 tot 75 jaar,low,
Stadskanaal,Mannen,15 tot 75 jaar,low,3599.0
Staphorst,Mannen,15 tot 75 jaar,low,1742.0
Stede Broec,Mannen,15 tot 75 jaar,low,2968.0
Steenbergen,Mannen,15 tot 75 jaar,low,2491.0
Steenwijkerland,Mannen,15 tot 75 jaar,low,4480.0
Stein (L.),Mannen,15 tot 75 jaar,low,2320.0
Stichtse Vecht,Mannen,15 tot 75 jaar,low,5688.0
Strijen,Mannen,15 tot 75 jaar,low,
Súdwest-Fryslân,Mannen,15 tot 75 jaar,low,9065.0
Terneuzen,Mannen,15 tot 75 jaar,low,6334.0
Terschelling,Mannen,15 tot 75 jaar,low,378.0
Texel,Mannen,15 tot 75 jaar,low,1382.0
Teylingen,Mannen,15 tot 75 jaar,low,3117.0
Tholen,Mannen,15 tot 75 jaar,low,2724.0
Tiel,Mannen,15 tot 75 jaar,low,5428.0
Tilburg,Mannen,15 tot 75 jaar,low,24344.0
Tubbergen,Mannen,15 tot 75 jaar,low,2125.0
Twenterand,Mannen,15 tot 75 jaar,low,4459.0
Tynaarlo,Mannen,15 tot 75 jaar,low,2418.0
Tytsjerksteradiel,Mannen,15 tot 75 jaar,low,3142.0
Ubbergen,Mannen,15 tot 75 jaar,low,
Uden,Mannen,15 tot 75 jaar,low,
Uitgeest,Mannen,15 tot 75 jaar,low,938.0
Uithoorn,Mannen,15 tot 75 jaar,low,3112.0
Urk,Mannen,15 tot 75 jaar,low,2636.0
Utrecht (gemeente),Mannen,15 tot 75 jaar,low,27962.0
Utrechtse Heuvelrug,Mannen,15 tot 75 jaar,low,4482.0
Vaals,Mannen,15 tot 75 jaar,low,1205.0
Valkenburg aan de Geul,Mannen,15 tot 75 jaar,low,1446.0
Valkenswaard,Mannen,15 tot 75 jaar,low,2925.0
Veendam,Mannen,15 tot 75 jaar,low,2954.0
Veenendaal,Mannen,15 tot 75 jaar,low,7145.0
Veere,Mannen,15 tot 75 jaar,low,1740.0
Veghel,Mannen,15 tot 75 jaar,low,
Veldhoven,Mannen,15 tot 75 jaar,low,4171.0
Velsen,Mannen,15 tot 75 jaar,low,6759.0
Venlo,Mannen,15 tot 75 jaar,low,12280.0
Venray,Mannen,15 tot 75 jaar,low,5198.0
Vianen,Mannen,15 tot 75 jaar,low,
Vijfheerenlanden,Mannen,15 tot 75 jaar,low,6215.0
Vlaardingen,Mannen,15 tot 75 jaar,low,8868.0
Vlagtwedde,Mannen,15 tot 75 jaar,low,
Vlieland,Mannen,15 tot 75 jaar,low,
Vlissingen,Mannen,15 tot 75 jaar,low,4764.0
Vlist,Mannen,15 tot 75 jaar,low,
Voerendaal,Mannen,15 tot 75 jaar,low,871.0
Voorne aan Zee,Mannen,15 tot 75 jaar,low,6792.0
Voorschoten,Mannen,15 tot 75 jaar,low,1692.0
Voorst,Mannen,15 tot 75 jaar,low,2463.0
Vught,Mannen,15 tot 75 jaar,low,2606.0
