region,gender,age_group,education,N
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",4910
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",10128
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,45 tot 55 jaar,"3 Hbo, wo",12862
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",7921
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",12096
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,55 tot 65 jaar,"3 Hbo, wo",10684
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",8882
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",8784
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,65 tot 75 jaar,"3 Hbo, wo",6734
Alkmaar en omgeving (CR),Mannen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",7590
Alkmaar en omgeving (CR),Mannen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",6585
Alkmaar en omgeving (CR),Mannen,15 tot 25 jaar,"3 Hbo, wo",825
Alkmaar en omgeving (CR),Mannen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",2204
Alkmaar en omgeving (CR),Mannen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",7478
Alkmaar en omgeving (CR),Mannen,25 tot 35 jaar,"3 Hbo, wo",5518
Alkmaar en omgeving (CR),Mannen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",2880
Alkmaar en omgeving (CR),Mannen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",6884
Alkmaar en omgeving (CR),Mannen,35 tot 45 jaar,"3 Hbo, wo",5636
Alkmaar en omgeving (CR),Mannen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",3254
Alkmaar en omgeving (CR),Mannen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",7038
Alkmaar en omgeving (CR),Mannen,45 tot 55 jaar,"3 Hbo, wo",6291
Alkmaar en omgeving (CR),Mannen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",4204
Alkmaar en omgeving (CR),Mannen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",8026
Alkmaar en omgeving (CR),Mannen,55 tot 65 jaar,"3 Hbo, wo",5988
Alkmaar en omgeving (CR),Mannen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",3408
Alkmaar en omgeving (CR),Mannen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",6177
Alkmaar en omgeving (CR),Mannen,65 tot 75 jaar,"3 Hbo, wo",4930
Alkmaar en omgeving (CR),Vrouwen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",6192
Alkmaar en omgeving (CR),Vrouwen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",6151
Alkmaar en omgeving (CR),Vrouwen,15 tot 25 jaar,"3 Hbo, wo",1356
Alkmaar en omgeving (CR),Vrouwen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",1235
Alkmaar en omgeving (CR),Vrouwen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",6145
Alkmaar en omgeving (CR),Vrouwen,25 tot 35 jaar,"3 Hbo, wo",7306
Alkmaar en omgeving (CR),Vrouwen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",2511
Alkmaar en omgeving (CR),Vrouwen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",5626
Alkmaar en omgeving (CR),Vrouwen,35 tot 45 jaar,"3 Hbo, wo",7362
Alkmaar en omgeving (CR),Vrouwen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",2992
Alkmaar en omgeving (CR),Vrouwen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",7089
Alkmaar en omgeving (CR),Vrouwen,45 tot 55 jaar,"3 Hbo, wo",6936
Alkmaar en omgeving (CR),Vrouwen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",4440
Alkmaar en omgeving (CR),Vrouwen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",8566
Alkmaar en omgeving (CR),Vrouwen,55 tot 65 jaar,"3 Hbo, wo",5494
Alkmaar en omgeving (CR),Vrouwen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",5483
Alkmaar en omgeving (CR),Vrouwen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",6036
Alkmaar en omgeving (CR),Vrouwen,65 tot 75 jaar,"3 Hbo, wo",4282
Arnhem/Nijmegen (CR),Mannen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",21266
Arnhem/Nijmegen (CR),Mannen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",23226
Arnhem/Nijmegen (CR),Mannen,15 tot 25 jaar,"3 Hbo, wo",4459
Arnhem/Nijmegen (CR),Mannen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",8010
Arnhem/Nijmegen (CR),Mannen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",21467
Arnhem/Nijmegen (CR),Mannen,25 tot 35 jaar,"3 Hbo, wo",23923
Arnhem/Nijmegen (CR),Mannen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",8091
Arnhem/Nijmegen (CR),Mannen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",16769
Arnhem/Nijmegen (CR),Mannen,35 tot 45 jaar,"3 Hbo, wo",20340
Arnhem/Nijmegen (CR),Mannen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",9954
Arnhem/Nijmegen (CR),Mannen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",18059
Arnhem/Nijmegen (CR),Mannen,45 tot 55 jaar,"3 Hbo, wo",19339
Arnhem/Nijmegen (CR),Mannen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",13054
Arnhem/Nijmegen (CR),Mannen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",21186
Arnhem/Nijmegen (CR),Mannen,55 tot 65 jaar,"3 Hbo, wo",19206
Arnhem/Nijmegen (CR),Mannen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",11742
Arnhem/Nijmegen (CR),Mannen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",15201
Arnhem/Nijmegen (CR),Mannen,65 tot 75 jaar,"3 Hbo, wo",15799
Arnhem/Nijmegen (CR),Vrouwen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",17391
Arnhem/Nijmegen (CR),Vrouwen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",24837
Arnhem/Nijmegen (CR),Vrouwen,15 tot 25 jaar,"3 Hbo, wo",8721
Arnhem/Nijmegen (CR),Vrouwen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",3900
Arnhem/Nijmegen (CR),Vrouwen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",17680
Arnhem/Nijmegen (CR),Vrouwen,25 tot 35 jaar,"3 Hbo, wo",30420
Arnhem/Nijmegen (CR),Vrouwen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",5728
Arnhem/Nijmegen (CR),Vrouwen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",15063
Arnhem/Nijmegen (CR),Vrouwen,35 tot 45 jaar,"3 Hbo, wo",24264
Arnhem/Nijmegen (CR),Vrouwen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",8833
Arnhem/Nijmegen (CR),Vrouwen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",18056
