gm_code,municipality,gender,age_group,education,N
GM0358    ,Aalsmeer,Mannen,15 tot 25 jaar,"Hbo-, wo-bachelor",145.0
GM0358    ,Aalsmeer,Mannen,15 tot 25 jaar,"Hbo-, wo-master, doctor",18.0
GM0358    ,Aalsmeer,Mannen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",876.0
GM0358    ,Aalsmeer,Mannen,25 tot 35 jaar,Basisonderwijs,126.0
GM0358    ,Aalsmeer,Mannen,25 tot 35 jaar,"Havo, vwo, mbo2-4",879.0
GM0358    ,Aalsmeer,Mannen,25 tot 35 jaar,"Hbo-, wo-bachelor",376.0
GM0358    ,Aalsmeer,Mannen,25 tot 35 jaar,"Hbo-, wo-master, doctor",168.0
GM0358    ,Aalsmeer,Mannen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",151.0
GM0358    ,Aalsmeer,Mannen,35 tot 45 jaar,Basisonderwijs,93.0
GM0358    ,Aalsmeer,Mannen,35 tot 45 jaar,"Havo, vwo, mbo2-4",775.0
GM0358    ,Aalsmeer,Mannen,35 tot 45 jaar,"Hbo-, wo-bachelor",441.0
GM0358    ,Aalsmeer,Mannen,35 tot 45 jaar,"Hbo-, wo-master, doctor",266.0
GM0358    ,Aalsmeer,Mannen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",325.0
GM0358    ,Aalsmeer,Mannen,45 tot 55 jaar,Basisonderwijs,187.0
GM0358    ,Aalsmeer,Mannen,45 tot 55 jaar,"Havo, vwo, mbo2-4",845.0
GM0358    ,Aalsmeer,Mannen,45 tot 55 jaar,"Hbo-, wo-bachelor",557.0
GM0358    ,Aalsmeer,Mannen,45 tot 55 jaar,"Hbo-, wo-master, doctor",446.0
GM0358    ,Aalsmeer,Mannen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",365.0
GM0358    ,Aalsmeer,Mannen,55 tot 65 jaar,Basisonderwijs,148.0
GM0358    ,Aalsmeer,Mannen,55 tot 65 jaar,"Havo, vwo, mbo2-4",1132.0
GM0358    ,Aalsmeer,Mannen,55 tot 65 jaar,"Hbo-, wo-bachelor",442.0
GM0358    ,Aalsmeer,Mannen,55 tot 65 jaar,"Hbo-, wo-master, doctor",270.0
GM0358    ,Aalsmeer,Mannen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",510.0
GM0358    ,Aalsmeer,Mannen,65 tot 75 jaar,Basisonderwijs,118.0
GM0358    ,Aalsmeer,Mannen,65 tot 75 jaar,"Havo, vwo, mbo2-4",742.0
GM0358    ,Aalsmeer,Mannen,65 tot 75 jaar,"Hbo-, wo-bachelor",225.0
GM0358    ,Aalsmeer,Mannen,65 tot 75 jaar,"Hbo-, wo-master, doctor",60.0
GM0358    ,Aalsmeer,Mannen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",352.0
GM0358    ,Aalsmeer,Vrouwen,15 tot 25 jaar,Basisonderwijs,189.0
GM0358    ,Aalsmeer,Vrouwen,15 tot 25 jaar,"Havo, vwo, mbo2-4",939.0
GM0358    ,Aalsmeer,Vrouwen,15 tot 25 jaar,"Hbo-, wo-bachelor",191.0
GM0358    ,Aalsmeer,Vrouwen,15 tot 25 jaar,"Hbo-, wo-master, doctor",23.0
GM0358    ,Aalsmeer,Vrouwen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",756.0
GM0358    ,Aalsmeer,Vrouwen,25 tot 35 jaar,Basisonderwijs,112.0
GM0358    ,Aalsmeer,Vrouwen,25 tot 35 jaar,"Havo, vwo, mbo2-4",530.0
GM0358    ,Aalsmeer,Vrouwen,25 tot 35 jaar,"Hbo-, wo-bachelor",809.0
GM0358    ,Aalsmeer,Vrouwen,25 tot 35 jaar,"Hbo-, wo-master, doctor",197.0
GM0358    ,Aalsmeer,Vrouwen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",51.0
GM0358    ,Aalsmeer,Vrouwen,35 tot 45 jaar,Basisonderwijs,143.0
GM0358    ,Aalsmeer,Vrouwen,35 tot 45 jaar,"Havo, vwo, mbo2-4",832.0
GM0358    ,Aalsmeer,Vrouwen,35 tot 45 jaar,"Hbo-, wo-bachelor",640.0
GM0358    ,Aalsmeer,Vrouwen,35 tot 45 jaar,"Hbo-, wo-master, doctor",387.0
GM0358    ,Aalsmeer,Vrouwen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",196.0
GM0358    ,Aalsmeer,Vrouwen,45 tot 55 jaar,Basisonderwijs,140.0
GM0358    ,Aalsmeer,Vrouwen,45 tot 55 jaar,"Havo, vwo, mbo2-4",985.0
GM0358    ,Aalsmeer,Vrouwen,45 tot 55 jaar,"Hbo-, wo-bachelor",668.0
