,birthyear,age,municipality,mun_code,number_of_children,Q91,gender,marital_status,living_situation,interest_in_politics,days_per_week_tv_news,days_per_week_newspaper,turnout_in_2022,vote_in_2022,vote_in_2019,party_attachment_strength,class_differences_perception,gross_annual_income,economic_security,social_class_identity,union_membership,employment_sector,school_education,higher_education
832,1960.0,66.0,Egedal,240.0,2.0,1.0,Women,Married,Living with spouse,Somewhat interested,0.0,5.0,Voted,F: SF - Socialistisk Folkeparti,F: SF - Socialistisk Folkeparti,,Yes,"1,000,000-1,199,999 kr.",Very secure,,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
833,1960.0,66.0,Egedal,240.0,1.0,1.0,Men,Married,Living with spouse,Somewhat interested,7.0,6.0,,M: Moderaterne,,,No,"350,000-399,999 kr.",Very insecure,Middle class,"Yes, member of a labor union",,"H2020 Upper secondary education, General (hhx, htx)",H30 Vocational Education and Training (VET)
834,1960.0,66.0,Egedal,240.0,2.0,,Women,Married,Living with spouse,Only slightly interested,7.0,0.0,Voted,,,,,,,,,,,
835,1962.0,64.0,Egedal,240.0,2.0,1.0,Women,Married,Living with spouse,Somewhat interested,7.0,7.0,,F: SF - Socialistisk Folkeparti,F: SF - Socialistisk Folkeparti,,Yes,"250,000-299,999 kr.",Secure,Working class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
836,1962.0,64.0,Egedal,240.0,,1.0,Men,In a steady relationship,Living with cohabitant,Very interested,6.0,3.0,Voted,I: Liberal Alliance,I: Liberal Alliance,Strongly convinced supporter,Yes,"600,000-699,999 kr.",Secure,,"No, not a member",,H1020 Primary school 7th-9th grade,H30 Vocational Education and Training (VET)
837,1963.0,63.0,Egedal,240.0,1.0,1.0,Men,Married,Living with spouse,Somewhat interested,5.0,5.0,Voted,Ø: Enhedslisten,A: Socialdemokraterne,,No,,Insecure,,"Yes, member of a labor union",Self-employed,H90 Not stated,H30 Vocational Education and Training (VET)
838,1965.0,61.0,Egedal,240.0,1.0,1.0,Men,Married,Living with spouse,Very interested,6.0,7.0,,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"700,000-799,999 kr.",Very secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
839,1967.0,59.0,Egedal,240.0,2.0,1.0,Men,Married,Living with spouse,Very interested,7.0,7.0,,Ø: Enhedslisten,Ø: Enhedslisten,,Yes,"300,000-349,999 kr.",Secure,,"No, not a member",,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
840,1974.0,52.0,Egedal,240.0,,1.0,Women,Married,Living with spouse,Somewhat interested,4.0,4.0,Voted,A: Socialdemokratiet,Ø: Enhedslisten,Not strongly convinced supporter,Yes,"350,000-399,999 kr.",Neither secure nor insecure,Middle class,"Yes, member of a labor union",Self-employed,,H60 Bachelors programs
841,1974.0,52.0,Egedal,240.0,2.0,1.0,Men,Single,Living alone,Somewhat interested,7.0,1.0,,Å: Alternativet,Å: Alternativet,,Yes,,,,,,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
842,1977.0,49.0,Egedal,240.0,1.0,1.0,Men,Married,Living with spouse,Somewhat interested,4.0,4.0,Voted,I: Liberal Alliance,A: Socialdemokraterne,,Yes,"450,000-499,999 kr.",Secure,,"Yes, member of a labor union",,H1020 Primary school 7th-9th grade,H30 Vocational Education and Training (VET)
843,1978.0,48.0,Egedal,240.0,1.0,1.0,Women,Married,Living with spouse,Somewhat interested,4.0,2.0,"I usually vote, did not vote",Did not vote,A: Socialdemokraterne,,Yes,"300,000-349,999 kr.",Neither secure nor insecure,Working class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
844,1980.0,46.0,Egedal,240.0,1.0,1.0,Women,Married,Living with spouse,Not at all interested,3.0,0.0,Voted,F: SF - Socialistisk Folkeparti,B: Det Radikale Venstre,,,"350,000-399,999 kr.",Neither secure nor insecure,Middle class,"Yes, member of a labor union",,H1030 Primary school 10th grade,H50 Vocational bachelors educations
845,1980.0,46.0,Egedal,240.0,1.0,1.0,Men,Divorced,Living alone,Only slightly interested,1.0,2.0,Voted,I: Liberal Alliance,E: Klaus Riskær Pedersen,,Yes,"800,000-999,999 kr.",Secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
846,1984.0,42.0,Egedal,240.0,1.0,1.0,Men,Married,Living with spouse,Somewhat interested,7.0,0.0,Voted,C: Det Konservative Folkeparti,C: Det Konservative Folkeparti,,Yes,"450,000-499,999 kr.",Secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
847,1987.0,39.0,Egedal,240.0,,1.0,Women,Married,Living with spouse,Only slightly interested,3.0,0.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,Not strongly convinced supporter,Yes,"450,000-499,999 kr.",Secure,Middle class,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",
848,1990.0,36.0,Egedal,240.0,1.0,1.0,Men,Married,Living with spouse,Only slightly interested,1.0,3.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,,Yes,"250,000-299,999 kr.",Insecure,,"Yes, member of a labor union",,H1030 Primary school 10th grade,H30 Vocational Education and Training (VET)
849,1992.0,34.0,Egedal,240.0,1.0,1.0,Men,Married,Living with spouse,Only slightly interested,0.0,7.0,,C: Det Konservative Folkeparti,C: Det Konservative Folkeparti,,Yes,"600,000-699,999 kr.",Secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H60 Bachelors programs
850,1996.0,30.0,Egedal,240.0,2.0,2.0,Men,In a steady relationship,Living with cohabitant,Only slightly interested,3.0,4.0,,A: Socialdemokratiet,A: Socialdemokraterne,,Yes,"200,000-249,999 kr.",Insecure,,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",
851,1996.0,30.0,Egedal,240.0,2.0,,Men,In a steady relationship,Living with other adults,Only slightly interested,2.0,7.0,,,,,Yes,,,,,,,
852,2004.0,22.0,Egedal,240.0,2.0,,Men,In a steady relationship,Living with other adults,Very interested,1.0,0.0,Voted,I: Liberal Alliance,Did not vote,Strongly convinced supporter,Yes,"Under 100,000 kr.",Very secure,Middle class,"No, not a member",,H90 Not stated,
853,1933.0,93.0,Frederikssund,250.0,1.0,,Men,Married,Living with spouse,Only slightly interested,7.0,7.0,Voted,V: Venstre,V: Venstre,,Yes,"100,000-149,999 kr.",Neither secure nor insecure,,"No, not a member",,H1010 Primary school through to 6th grade,
