party,municipality,year,pop_pct
Independent candidate,Roskilde,2022,0.0009812232783293698
Independent candidate,Solrød,2022,0.0007732181571815052
Independent candidate,Gribskov,2022,0.0014004219091387738
Independent candidate,Odsherred,2022,0.002240441039058091
Independent candidate,Holbæk,2022,0.001235772976603568
Independent candidate,Faxe,2022,0.0018322651933701528
Independent candidate,Kalundborg,2022,0.002087040935672451
Independent candidate,Ringsted,2022,0.001718965351299285
Independent candidate,Slagelse,2022,0.0014869165023010502
Independent candidate,Stevns,2022,0.0019162572015098015
Independent candidate,Sorø,2022,0.0017896533333333054
Independent candidate,Lejre,2022,0.0009140702154213372
Independent candidate,Lolland,2022,0.0016554371002132132
Independent candidate,Næstved,2022,0.0013072121386727728
Independent candidate,Guldborgsund,2022,0.001499481631133969
Independent candidate,Vordingborg,2022,0.002428838116466963
Independent candidate,Bornholm,2022,0.0014894777390316795
Independent candidate,Middelfart,2022,0.0007079361976620977
Independent candidate,Assens,2022,0.0011946670861682283
Independent candidate,Faaborg-Midtfyn,2022,0.0008575042158515461
Independent candidate,Kerteminde,2022,0.0006158070428066026
Independent candidate,Nyborg,2022,0.0007875321463896996
Independent candidate,Odense,2022,0.0007661227911775274
Independent candidate,Svendborg,2022,0.001477715914188398
Independent candidate,Nordfyns,2022,0.000504863039808227
Independent candidate,Langeland,2022,0.0016270243417783837
Independent candidate,Ærø,2022,0.0012864329268292354
Independent candidate,Haderslev,2022,0.0005028899984868885
Independent candidate,Billund,2022,0.0007085768082067028
Independent candidate,Sønderborg,2022,0.0005509037255624488
Independent candidate,Tønder,2022,0.0008445068313680852
Independent candidate,Esbjerg,2022,0.0007037848547536302
Independent candidate,Fanø,2022,0.0015339558573853546
Independent candidate,Varde,2022,0.00039599534342253895
Independent candidate,Vejen,2022,0.0012419168820838938
Independent candidate,Aabenraa,2022,0.0008814686979290003
Independent candidate,Fredericia,2022,0.0006619993487463203
Independent candidate,Horsens,2022,0.0007227104336767576
Independent candidate,Kolding,2022,0.0005416656185427741
Independent candidate,Vejle,2022,0.000648342925183492
Independent candidate,Herning,2022,0.0009270714364660747
Independent candidate,Holstebro,2022,0.0008225731090588722
Independent candidate,Lemvig,2022,0.0008967444081827075
Independent candidate,Struer,2022,0.0005819646098003171
Independent candidate,Syddjurs,2022,0.0009470072055361188
Independent candidate,Norddjurs,2022,0.0011476882430646897
Independent candidate,Favrskov,2022,0.0008154801215163036
Independent candidate,Odder,2022,0.0011607863904149575
Independent candidate,Randers,2022,0.0007384115775975133
Independent candidate,Silkeborg,2022,0.0016886128766192773
Independent candidate,Samsø,2022,0.0013810810810810082
Independent candidate,Skanderborg,2022,0.0008185169638006665
Independent candidate,Aarhus,2022,0.0007788594400496909
Independent candidate,Ikast-Brande,2022,0.0007618169848584455
Independent candidate,Ringkøbing-Skjern,2022,0.0006802955954514213
