party,municipality,year,N,N_pct
Another party,Skanderborg,2019,464,0.011841870198810708
Another party,Aarhus,2019,2566,0.011734201584986075
Another party,Ikast-Brande,2019,450,0.01841545261090195
Another party,Ringkøbing-Skjern,2019,477,0.013889697746199988
Another party,Hedensted,2019,575,0.01982826994034277
Another party,Morsø,2019,215,0.016515593793209403
Another party,Skive,2019,565,0.019201359388275278
Another party,Thisted,2019,384,0.01412076193277929
Another party,Viborg,2019,856,0.014450671888716321
Another party,Brønderslev,2019,419,0.01873295479948138
Another party,Frederikshavn,2019,794,0.02129999731738069
Another party,Vesthimmerlands,2019,431,0.019601600873203565
Another party,Læsø,2019,18,0.014742014742014743
Another party,Rebild,2019,246,0.013212310005907944
Another party,Mariagerfjord,2019,407,0.015707008335906145
Another party,Jammerbugt,2019,380,0.015841914370283903
Another party,Aalborg,2019,2293,0.017032497678737234
Another party,Hjørring,2019,756,0.018811585547924753
Independent candidate,Copenhagen,2022,647,0.001816573779006921
Independent candidate,Frederiksberg,2022,91,0.001405448816951875
Independent candidate,Ballerup,2022,43,0.0015334688491851218
Independent candidate,Brøndby,2022,32,0.0018282580129120722
Independent candidate,Dragør,2022,12,0.0013168001755733568
Independent candidate,Gentofte,2022,51,0.0011356804061727571
Independent candidate,Gladsaxe,2022,49,0.0013043709737528616
Independent candidate,Glostrup,2022,12,0.0009319664492078285
Independent candidate,Herlev,2022,17,0.0010757451116876543
Independent candidate,Albertslund,2022,28,0.002035919435759471
Independent candidate,Hvidovre,2022,42,0.0014530860780514808
Independent candidate,Høje-Taastrup,2022,27,0.0010240072818295596
Independent candidate,Lyngby-Taarbæk,2022,41,0.0011928660789619157
Independent candidate,Rødovre,2022,31,0.0013682305689190978
Independent candidate,Ishøj,2022,14,0.0014118596208148447
Independent candidate,Tårnby,2022,32,0.0012984905047881837
Independent candidate,Vallensbæk,2022,5,0.000585411544315654
Independent candidate,Furesø,2022,25,0.0009991207737191272
Independent candidate,Allerød,2022,12,0.0007240255822372391
Independent candidate,Fredensborg,2022,27,0.001114505077189796
Independent candidate,Helsingør,2022,45,0.0011671940654666183
Independent candidate,Hillerød,2022,26,0.0007936265681755746
Independent candidate,Hørsholm,2022,7,0.0004357027262542014
Independent candidate,Rudersdal,2022,27,0.0007596005064003376
Independent candidate,Egedal,2022,16,0.0005747539334722322
Independent candidate,Frederikssund,2022,23,0.0007898351648351648
Independent candidate,Greve,2022,25,0.0008471704506946798
Independent candidate,Køge,2022,43,0.0011450788240306774
Independent candidate,Halsnæs,2022,21,0.001082976638646795
Independent candidate,Roskilde,2022,64,0.0011307020953323205
Independent candidate,Solrød,2022,13,0.0008807588075880759
Independent candidate,Gribskov,2022,44,0.0016575001883522942
Independent candidate,Odsherred,2022,58,0.0027097738740422352
Independent candidate,Holbæk,2022,66,0.0014776670771297436
Independent candidate,Faxe,2022,50,0.0022099447513812156
Independent candidate,Kalundborg,2022,77,0.0025730994152046785
Independent candidate,Ringsted,2022,43,0.0020692974013474495
Independent candidate,Slagelse,2022,88,0.0018663442981060848
Independent candidate,Stevns,2022,34,0.002251506522746838
Independent candidate,Sorø,2022,40,0.0021333333333333334
Independent candidate,Lejre,2022,19,0.0010309837755711107
Independent candidate,Lolland,2022,51,0.0021321961620469083
Independent candidate,Næstved,2022,82,0.001574954383943148
