municipality,party,point_estimate,lower_quartile,median,upper_quartile,sd_draws,n_distinct_draws
Stevns,D: Nye Borgerlige,0.021853805576488323,6.555478152303564e-6,1.325029186713977e-5,2.598251163747035e-5,2.3788898692486595e-5,250
Stevns,O: Dansk Folkeparti,0.01582516955538809,4.747070386150859e-6,9.595038938273631e-6,1.881492222023714e-5,1.722644388076615e-5,250
Stevns,Voted blank,0.012810851544837992,3.8428665030745036e-6,7.76741247384056e-6,1.5231127511620544e-5,1.3945216474905937e-5,250
Stevns,Q: Frie Grønne,0.005275056518462703,1.5823567953836201e-6,3.1983463127578774e-6,6.271640740079051e-6,5.742147960255385e-6,250
Stevns,K: Kristendemokraterne,0.004521477015825175,1.3563058246145315e-6,2.7414396966496088e-6,5.375692062924902e-6,4.92184110879033e-6,250
Stevns,Another party,0.0011303692539562937,3.3907645615363293e-7,6.853599241624022e-7,1.3439230157312257e-6,1.2304602771975826e-6,250
Stevns,Independent candidate,0.0011303692539562937,3.3907645615363293e-7,6.853599241624022e-7,1.3439230157312257e-6,1.2304602771975826e-6,250
Struer,A: Socialdemokratiet,0.2573474001507159,0.18504235990066104,0.2044669185435521,0.2255335062238664,0.02765334810439103,250
Struer,V: Venstre,0.12622456669178606,4.878340868902831e-5,7.950891533351044e-5,1.531026784820315e-4,1.4090960541107453e-4,250
Struer,F: SF - Socialistisk Folkeparti,0.10587792012057284,8.067552780288434e-7,1.4567901284192774e-6,2.6425761762260255e-6,4.812559052947145e-6,250
Struer,M: Moderaterne,0.09645817633760363,1.5453044107687833e-7,3.257792867264282e-7,6.2960724393612e-7,1.85771599763163e-6,250
Struer,I: Liberal Alliance,0.06066314996232104,3.108116959378472e-7,6.534092708507413e-7,1.3486488327777518e-6,2.2157137966126283e-6,250
Struer,Æ: Danmarksdemokraterne,0.05764883195177093,2.570783969819435e-6,4.8769137956622485e-6,9.28165276819724e-6,1.6163977856086473e-5,250
Struer,Ø: Enhedslisten,0.05764883195177093,6.977403508210801e-8,1.33093971311277e-7,2.636705352227782e-7,5.874285034623856e-7,250
Struer,C: Det Konservative Folkeparti,0.05689525244913344,2.570500098549981e-8,5.479758755986434e-8,1.2457116684216286e-7,2.2549587038993164e-07,250
Struer,B: Det Radikale Venstre,0.04785229841748312,6.926910884299544e-8,1.3268647832177595e-7,2.6497882585119935e-7,6.067016438349133e-7,250
Struer,Å: Alternativet,0.03617181612660133,5.2360901172657905e-8,1.0029844030622428e-7,2.002989549741348e-7,4.586091165996194e-7,250
Struer,Did not vote,0.03466465712132632,0.7743861812304141,0.7954609149072414,0.8148596815605282,0.027663319429357864,250
Struer,D: Nye Borgerlige,0.02185380557648833,3.163471112514752e-8,6.059697435167718e-8,1.2101395196353985e-7,2.77076341278937e-7,250
Struer,O: Dansk Folkeparti,0.015825169555388124,2.2907894263037855e-8,4.3880567633973124e-8,8.763079280118405e-8,2.0064148851233367e-7,250
Struer,Voted blank,0.012810851544837978,1.8544485831983034e-8,3.55223642751211e-8,7.093921322000616e-8,1.6242406212903196e-7,250
Struer,Q: Frie Grønne,0.0052750565184627,7.635964754345953e-9,1.4626855877991045e-8,2.921026426706134e-8,6.688049617077786e-8,250
Struer,K: Kristendemokraterne,0.004521477015825167,6.545112646582238e-9,1.2537305038278036e-8,2.5037369371766853e-8,5.7326139574952446e-8,250
Struer,Another party,0.001130369253956292,1.6362781616455597e-9,3.1343262595695093e-9,6.259342342941714e-9,1.4331534893738112e-8,250
Struer,Independent candidate,0.001130369253956292,1.6362781616455597e-9,3.1343262595695093e-9,6.259342342941714e-9,1.4331534893738112e-8,250
Svendborg,A: Socialdemokratiet,0.25734740015071567,0.17233511977084218,0.18609823034717426,0.2006826099968184,0.02241845446840875,250
Svendborg,V: Venstre,0.12622456669178597,2.546814228690551e-7,4.826696356078835e-7,8.900635656651759e-7,7.471809866698735e-7,250
Svendborg,F: SF - Socialistisk Folkeparti,0.10587792012057261,2.5797717135132565e-7,4.5848744668123485e-7,7.676098915111885e-7,5.45807371952319e-7,250
Svendborg,M: Moderaterne,0.09645817633760362,3.186285878327318e-7,5.706826521092272e-7,1.0340960266325152e-6,6.757488635298397e-7,250
Svendborg,I: Liberal Alliance,0.06066314996232101,7.686593723098797e-8,1.328316262011705e-7,2.266365048364589e-7,1.795699733324257e-7,250
Svendborg,Æ: Danmarksdemokraterne,0.057648831951770854,2.730538248320866e-7,4.819343349324238e-7,8.351492271776911e-7,8.375813022566758e-7,250
Svendborg,Ø: Enhedslisten,0.057648831951770854,9.370563337070063e-8,1.6519137032617434e-7,2.817114597599727e-7,2.185118480963219e-7,250
Svendborg,C: Det Konservative Folkeparti,0.05689525244913336,1.2642956886405553e-7,2.24956725385673e-7,3.8515887769537645e-7,3.436863874532307e-7,250
Svendborg,B: Det Radikale Venstre,0.04785229841748302,6.636593280777301e-8,1.2156312629570608e-7,2.1894801904445663e-7,1.5286885427116605e-7,250
Svendborg,Å: Alternativet,0.03617181612660136,5.0166374405875696e-8,9.189023719990381e-8,1.655040143958097e-7,1.1555440952781055e-7,250
Svendborg,Did not vote,0.03466465712132629,0.7993139241947304,0.8138967123377314,0.8276636366515907,0.0224186903623449,250
Svendborg,D: Nye Borgerlige,0.021853805576488312,3.0308851203549865e-8,5.5517018308275265e-8,9.999200869746841e-8,6.981412242305223e-8,250
Svendborg,O: Dansk Folkeparti,0.0158251695553881,2.1947788802570604e-8,4.020197877495795e-8,7.240800629816679e-8,5.0555054168417125e-8,250
Svendborg,Voted blank,0.012810851544837978,1.7767257602080974e-8,3.254445900829928e-8,5.8616005098515985e-8,4.0925520041099585e-8,250
Svendborg,Q: Frie Grønne,0.005275056518462697,7.315929600856866e-9,1.3400659591652649e-8,2.413600209938893e-8,1.685168472280571e-8,250
Svendborg,K: Kristendemokraterne,0.0045214770158251705,6.270796800734462e-9,1.1486279649987978e-8,2.0688001799476213e-8,1.4444301190976322e-8,250
Svendborg,Another party,0.0011303692539562928,1.5676992001836155e-9,2.8715699124969945e-9,5.172000449869053e-9,3.6110752977440804e-9,250
Svendborg,Independent candidate,0.0011303692539562928,1.5676992001836155e-9,2.8715699124969945e-9,5.172000449869053e-9,3.6110752977440804e-9,250
Syddjurs,A: Socialdemokratiet,0.257347400150716,0.1732210070481769,0.18949583077805188,0.2030114531010972,0.022493431183395363,250
Syddjurs,V: Venstre,0.1262245666917859,5.5703855152733455e-5,1.0842670826020603e-4,1.8834101838697442e-4,1.5446837848175405e-4,250
Syddjurs,F: SF - Socialistisk Folkeparti,0.10587792012057273,1.9110731167180615e-5,4.296501567331481e-5,7.052158808052133e-5,5.7519740640309576e-5,250
Syddjurs,M: Moderaterne,0.0964581763376036,3.4886338905345115e-6,7.3975918317562605e-6,1.384793436242577e-5,1.417657051272524e-5,250
Syddjurs,I: Liberal Alliance,0.060663149962321014,7.566694926022215e-6,1.7429037646311397e-5,2.8207728288884633e-5,2.730501550324652e-5,250
Syddjurs,Æ: Danmarksdemokraterne,0.05764883195177091,4.517656112920753e-5,9.096149326443442e-5,1.602691882969364e-4,1.2247540303876746e-4,250
Syddjurs,Ø: Enhedslisten,0.05764883195177091,5.850299914504882e-6,1.2243412410829416e-5,2.2549377265823196e-5,2.60354611104966e-5,250
Syddjurs,C: Det Konservative Folkeparti,0.05689525244913337,9.08878901045676e-6,1.7098721029318958e-5,3.321194179297534e-5,3.980406048142599e-5,250
Syddjurs,B: Det Radikale Venstre,0.047852298417483036,3.671708625651719e-6,7.834299061086384e-6,1.4848365905701632e-5,1.8130828166709077e-5,250
Syddjurs,Å: Alternativet,0.03617181612660133,2.7754647878942137e-6,5.921989841451126e-6,1.1223961629506741e-5,1.3705192944913954e-5,250
Syddjurs,Did not vote,0.03466465712132629,0.7966317100944522,0.8100735984948145,0.8263376425757427,0.022538320772624354,250
Syddjurs,D: Nye Borgerlige,0.021853805576488333,1.6768433093527552e-6,3.577868862543387e-6,6.7811434844936575e-6,8.280220737552183e-6,250
Syddjurs,O: Dansk Folkeparti,0.015825169555388104,1.214265844703719e-6,2.5908705556348665e-6,4.910483212909197e-6,5.996021913399856e-6,250
Syddjurs,Voted blank,0.012810851544837996,9.829771123792015e-7,2.0973714021806046e-6,3.9751530771169714e-6,4.853922501323689e-6,250
Syddjurs,Q: Frie Grønne,0.005275056518462698,4.047552815679063e-7,8.636235185449556e-7,1.636827737636401e-6,1.998673971133285e-6,250
Syddjurs,K: Kristendemokraterne,0.004521477015825167,3.469330984867768e-7,7.402487301813907e-7,1.4029952036883428e-6,1.7131491181142445e-6,250
Syddjurs,Another party,0.001130369253956292,8.673327462169422e-8,1.8506218254534773e-7,3.5074880092208576e-7,4.2828727952856117e-7,250
Syddjurs,Independent candidate,0.001130369253956292,8.673327462169422e-8,1.8506218254534773e-7,3.5074880092208576e-7,4.2828727952856117e-7,250
Sønderborg,A: Socialdemokratiet,0.25734740015071605,0.1731178333725317,0.1901210778931381,0.2082096119559779,0.02596999472545539,250
Sønderborg,V: Venstre,0.12622456669178606,5.6135044529714995e-6,9.725877844945758e-6,1.6105071467884375e-5,8.798559123748133e-6,250
Sønderborg,F: SF - Socialistisk Folkeparti,0.10587792012057275,6.957219824143226e-7,1.0982073703354316e-6,1.8575079032831364e-6,1.0960565294380794e-6,250
Sønderborg,M: Moderaterne,0.0964581763376036,7.626196374588263e-7,1.2496743247241083e-6,2.197176915893101e-6,1.4502654412290125e-6,250
Sønderborg,I: Liberal Alliance,0.06066314996232096,3.471866874328603e-7,5.86694406589514e-7,1.0987425998042137e-6,6.33958626296933e-7,250
Sønderborg,Æ: Danmarksdemokraterne,0.057648831951770965,1.2376463488100202e-6,1.9944311889287907e-6,3.5654911731923278e-6,2.1577212570473348e-6,250
Sønderborg,Ø: Enhedslisten,0.057648831951770965,1.2088111912405636e-7,2.12560669147485e-7,3.5748682939729667e-7,2.9573428886163776e-7,250
Sønderborg,C: Det Konservative Folkeparti,0.056895252449133404,1.3795796912436296e-7,2.590432304345532e-7,4.4073894814810277e-7,4.0849223074245605e-7,250
Sønderborg,B: Det Radikale Venstre,0.04785229841748309,8.513960292869155e-8,1.4335442379055742e-7,2.677745714422447e-7,2.255848305493411e-7,250
Sønderborg,Å: Alternativet,0.03617181612660138,6.435749512719992e-8,1.0836239908577566e-7,2.0241227447602766e-7,1.7052081679320275e-7,250
Sønderborg,Did not vote,0.034664657121326284,0.7917686596930822,0.8098648084809992,0.8268683988516857,0.025971526622125016,250
Sønderborg,D: Nye Borgerlige,0.02185380557648834,3.888265330601662e-8,6.546894944765611e-8,1.222907491626e-7,1.030229934792267e-7,250
Sønderborg,O: Dansk Folkeparti,0.015825169555388097,2.8156404118149933e-8,4.740854960002684e-8,8.8555370083262e-8,7.46028573470262e-8,250
Sønderborg,Voted blank,0.012810851544837989,2.279327952421666e-8,3.837834967621222e-8,7.168768054359311e-8,6.039278928092599e-8,250
Sønderborg,Q: Frie Grønne,0.0052750565184626974,9.385468039383324e-9,1.5802849866675612e-8,2.9518456694420705e-8,2.4867619115675404e-8,250
