draw,predicted_vote_party,share
38,Socialdemokratiet (A),0.2646699158049891
38,Venstre (V),0.11025442465536162
38,Other - Right,0.10772396871720168
38,Other - Left,0.13105711246422386
38,Moderaterne (M),0.08482909140634333
38,Danmarksdemokraterne (Æ),0.05953897492960708
38,Socialistisk Folkeparti (F),0.09546050492496999
38,Liberal Alliance (I),0.09679489456717734
38,Other,0.005907344293663842
39,Did not vote,0.04355971729291629
39,Socialdemokratiet (A),0.26472897730622896
39,Venstre (V),0.110282377667448
39,Other - Right,0.10776879571968129
39,Other - Left,0.1311836718054434
39,Moderaterne (M),0.08482327705789727
39,Danmarksdemokraterne (Æ),0.05953876644139711
39,Socialistisk Folkeparti (F),0.09546038932025627
39,Liberal Alliance (I),0.09674804116470452
39,Other,0.005905986224026948
40,Did not vote,0.04379755534376911
40,Socialdemokratiet (A),0.26464742307776534
40,Venstre (V),0.11027907584596978
40,Other - Right,0.10780201283539352
40,Other - Left,0.13105114888176764
40,Moderaterne (M),0.08479545413040575
40,Danmarksdemokraterne (Æ),0.059539868840823525
40,Socialistisk Folkeparti (F),0.09546008515448216
40,Liberal Alliance (I),0.09672214041205002
40,Other,0.005905235477573195
41,Did not vote,0.04381216137236503
41,Socialdemokratiet (A),0.26460616872000453
41,Venstre (V),0.11024856319748881
41,Other - Right,0.10764535440013197
41,Other - Left,0.13107728978832786
41,Moderaterne (M),0.08485277963788834
41,Danmarksdemokraterne (Æ),0.05953862625087368
41,Socialistisk Folkeparti (F),0.09560457151262289
41,Liberal Alliance (I),0.0967096127629864
41,Other,0.005904872357310482
42,Did not vote,0.04372254422507849
42,Socialdemokratiet (A),0.2644804775289034
42,Venstre (V),0.11034132757651803
42,Other - Right,0.10776934604517284
42,Other - Left,0.13105811603574466
42,Moderaterne (M),0.08483521332406535
42,Danmarksdemokraterne (Æ),0.05953919807955877
42,Socialistisk Folkeparti (F),0.09545852910102964
42,Liberal Alliance (I),0.09688528381214984
42,Other,0.005909964271778987
43,Did not vote,0.043317347776213266
43,Socialdemokratiet (A),0.2650399905484363
43,Venstre (V),0.11027208280785662
43,Other - Right,0.10766310933080643
43,Other - Left,0.13102883789952294
43,Moderaterne (M),0.08479120486041052
43,Danmarksdemokraterne (Æ),0.059538556601239176
43,Socialistisk Folkeparti (F),0.09546545086650163
43,Liberal Alliance (I),0.09697097134075287
43,Other,0.005912447968260234
44,Did not vote,0.043454655523727015
44,Socialdemokratiet (A),0.2648011714376522
44,Venstre (V),0.11029403299864557
44,Other - Right,0.10780119083353656
44,Other - Left,0.13121755985266947
44,Moderaterne (M),0.08482445381686277
44,Danmarksdemokraterne (Æ),0.05953885367798479
44,Socialistisk Folkeparti (F),0.09566696467035514
44,Liberal Alliance (I),0.09650225519553007
44,Other,0.005898861993036385
45,Did not vote,0.04376831574064433
45,Socialdemokratiet (A),0.26425262179238307
45,Venstre (V),0.11044973444875772
45,Other - Right,0.10776027446553287
45,Other - Left,0.1312451821662447
45,Moderaterne (M),0.08485050417632949
45,Danmarksdemokraterne (Æ),0.059538474030671334
45,Socialistisk Folkeparti (F),0.09553316200518734
45,Liberal Alliance (I),0.09669721808302459
45,Other,0.005904513091224632
46,Did not vote,0.0438676947686281
46,Socialdemokratiet (A),0.26441852412919914
46,Venstre (V),0.11023493163564796
46,Other - Right,0.10768749722972987
46,Other - Left,0.1312118456297961
46,Moderaterne (M),0.0848444924995507
46,Danmarksdemokraterne (Æ),0.05953844428951382
46,Socialistisk Folkeparti (F),0.09546164868496665
46,Liberal Alliance (I),0.09682665621191996
46,Other,0.005908264921047687
47,Did not vote,0.04363616914387549
47,Socialdemokratiet (A),0.2645424673850165
47,Venstre (V),0.1102652740080074
47,Other - Right,0.10771914036691006
47,Other - Left,0.13120679886302622
47,Moderaterne (M),0.08492374352865534
47,Danmarksdemokraterne (Æ),0.05953959927132298
47,Socialistisk Folkeparti (F),0.095603900678968
47,Liberal Alliance (I),0.0966594873086281
47,Other,0.00590341944558995
48,Did not vote,0.04360782581192527
48,Socialdemokratiet (A),0.26480928238464474
48,Venstre (V),0.11024758085185084
48,Other - Right,0.10766902368821729
48,Other - Left,0.13107152687053977
48,Moderaterne (M),0.08483023288656295
