Did not vote,Socialdemokratiet (A),Venstre (V),Other - Right,Other - Left,Moderaterne (M),Danmarksdemokraterne (Æ),Socialistisk Folkeparti (F),Liberal Alliance (I),Other
0.043466379714018906,0.26489629009590004,0.11019642068117354,0.10770253368794135,0.13110522333006744,0.08481470553724212,0.059539826258963306,0.09546119896662374,0.09690683284659647,0.005910588881473093
0.043649399147868084,0.26456856865412143,0.11023666560787868,0.10765373376319981,0.13113220939168477,0.08498830750023631,0.059539171355988074,0.09546197513905563,0.09686071724266607,0.005909252197301196
0.043734546548671316,0.26467174108697505,0.11024614733678717,0.107818138341483,0.13111143067159658,0.08479942395569305,0.05953924198518008,0.09558738330057287,0.09659052620016016,0.005901420572880736
0.04366395570380702,0.26472549279290664,0.11024762575420666,0.10775609086210958,0.13110435640942017,0.08484453212317819,0.059539583032603365,0.09548809955095662,0.09672494694447265,0.005905316826339068
0.04332680122299788,0.26490025095331127,0.11023419654596908,0.10771935034106805,0.13115893567768164,0.08482929019118926,0.05953857079637194,0.09546124979542271,0.09692037312274276,0.0059109813532454486
0.043624224154284595,0.26472462797238866,0.11023054161523152,0.10763406728508748,0.13111266380794137,0.08491282161305881,0.059539017578311385,0.09546096710602227,0.09685206739071904,0.005909001476954906
0.043667212135423586,0.26469025379028904,0.11025790393605119,0.10768468067216069,0.13115257370925218,0.08482059708558225,0.059538365435317056,0.09546039966386381,0.09681994323019304,0.005908070341867196
0.043724853933274896,0.2647362715155619,0.11026381153496989,0.10774953029071338,0.13107135200796496,0.08478505776802478,0.05953846689953765,0.09545999499546512,0.09676420627649553,0.0059064547779919055
0.04352501878580355,0.26478021012431496,0.11036510990498839,0.10768658411187912,0.13106355659462005,0.08480542942255656,0.059540072335642125,0.0954586820950557,0.09686593323952362,0.005909403385615909
0.04367606214002191,0.26448888491761724,0.11025858132155014,0.10773568469292072,0.13116793474405306,0.08494443921888829,0.05953913604103039,0.09557850053429916,0.09670600850359536,0.005904767886023785
0.04341873264416238,0.264894905551266,0.11038300502404856,0.10771592806863478,0.13109931182132703,0.08478111964377368,0.05953861759610662,0.0954597978325233,0.09680105884963985,0.005907522968517828
0.04378799422079474,0.2645930212254866,0.11024399042932971,0.1077071619002496,0.13110995153003221,0.08480321527636893,0.05953856340884886,0.09546138516875691,0.09684589429353081,0.0059088225466016235
0.043694677818939306,0.26452600966345186,0.11033373652727217,0.10775226332954273,0.13119250191122062,0.08482884988444447,0.05953991387354195,0.0954600983671331,0.09676545757688543,0.005906491047568425
0.043631578973299695,0.26453953557077386,0.11031081467792204,0.10771472173194713,0.13108591396351602,0.08499502225556695,0.05953838690722641,0.09546071997859906,0.09681536820860312,0.005907937732545748
0.04321669961759725,0.26507671202452215,0.11022996171187283,0.10773352184537383,0.1311912276695597,0.08485280324063511,0.059538829201924735,0.09546016944507989,0.09679279189673987,0.00590728334669464
0.043189047839095517,0.26504842728223366,0.11026241629001338,0.10775070206128731,0.1311888595018496,0.08481771349300476,0.059538338615708314,0.09546105397542942,0.09683493602572724,0.005908504915650796
0.04348401404221882,0.264760482847244,0.11030289839612478,0.10762987032196318,0.13108912505932135,0.08482798456236354,0.05953958790947519,0.09547602043605075,0.09697738262271831,0.005912633802520101
0.043536997997512726,0.26473012900142057,0.11026088223863939,0.10773431772986072,0.13121088284559482,0.08483602540705328,0.059539091551778694,0.09546026957004752,0.0967843645814073,0.005907039076685
0.04350497905387774,0.2646752755693175,0.11026027083467396,0.10768812876849188,0.13130200750684973,0.08481122724418763,0.05953901292454262,0.09546081039023625,0.09684936457339882,0.005908923134423884
0.04356217779653964,0.26464639215400293,0.1102385868882315,0.10754201736295049,0.13112648295850549,0.08495055767394856,0.05953955161607701,0.09546281300609426,0.09701762042793532,0.005913800115714798
0.043859672316031356,0.2645233051821918,0.11028286766398875,0.10773621459359436,0.13106891214868407,0.08483131652056532,0.05953888603293643,0.09561920382894196,0.09663685818412815,0.005902763528937779
0.04388808152776716,0.2645485404317863,0.11026160825372112,0.10768141807730533,0.1310619743168886,0.08507498508792255,0.059538646095348834,0.0954597254646515,0.09658379527112029,0.005901225473488276
0.04363278596027662,0.2647077451129783,0.11037041116715485,0.10772835192910889,0.13103743398743323,0.08480688834195074,0.05956337601998376,0.09545963475279737,0.09678627818486436,0.005907094543451872
0.043349917752098954,0.26466374115562774,0.11021593761627156,0.10778447591768736,0.13124279528592628,0.0849052096491338,0.059539394422194344,0.09545925581194643,0.09692806799606177,0.005911204393051797
0.043522200323796924,0.2644554983306989,0.11050102845047358,0.10750007646755864,0.13126974863762988,0.08479752319845131,0.05953943009016643,0.09546108986723463,0.09703898524812445,0.005914419385865208
0.043454933278697205,0.26494680896641903,0.11020285442760491,0.10780849665970169,0.1311153171631557,0.08482077493054792,0.0595386304572085,0.09546098237951735,0.09674529510894005,0.005905906628207689
0.04338332586031028,0.26494855744739426,0.11022962075019335,0.10759649478569627,0.1310674042304676,0.08491731209456037,0.059541651692817124,0.09545989863112281,0.09694406639274324,0.005911668114694737
0.04378583271606053,0.2646021855787039,0.11027740752054997,0.10777158794253819,0.13112207698517261,0.08480207848900748,0.059543421322111816,0.0954574011977635,0.09673247326746338,0.005905534980628654
0.043694219750690176,0.26463693910641556,0.11024535365898117,0.10764425963080299,0.1311607062671098,0.08485162075581629,0.059538988872426604,0.09546226662593937,0.0968565149403802,0.005909130391437838
0.04359062912038661,0.2646682726789403,0.11039663742416087,0.10763994732660247,0.131086621487783,0.08482765979055858,0.05953881746910339,0.09546211824723824,0.09687949983496032,0.005909796620266247
0.04369789676409128,0.2646224157354081,0.11034170580818474,0.10776501640886607,0.13110151314767304,0.08481012918703253,0.059539383871299506,0.09561584175885077,0.09660427813879627,0.0059018191797977244
0.04361493292702781,0.2646294191110309,0.11040636415423437,0.10769155491625768,0.13106662659534515,0.08484615617587189,0.05953910669582155,0.09546026823493547,0.09683700626683577,0.005908564922639448
0.0435388371719939,0.2647643658916882,0.1102049173450221,0.107652959989311,0.13109495868995097,0.08496318151765349,0.059539009270866465,0.09546168895806116,0.09687054413081389,0.005909537034638815
0.04358471697902431,0.2646075691326873,0.11025702760339748,0.1077474391891492,0.13109749955178887,0.0850492803561453,0.059538897463327696,0.09557280223678649,0.09664185900735764,0.005902908480335735
0.04312032582574318,0.26505845005341727,0.110252027313961,0.10770331533863461,0.13107490808678043,0.08507213478197771,0.059539261141840036,0.09546115409610978,0.09681062316644409,0.005907800195091864
0.04359525078577524,0.26482403713063596,0.11024694625781963,0.10778120998072563,0.13112307456368674,0.08479799922174598,0.059538639183910134,0.09547255026959135,0.09671525665764921,0.0059050359484601285
0.04370125530134967,0.26457385402914735,0.11023546888265716,0.1077153917126417,0.13117209225183166,0.08497060447905304,0.05953867694225648,0.0954608325209643,0.09672646310701916,0.0059053607730795475
0.04369673052505162,0.2647549829144662,0.11017734163715355,0.1077744902450923,0.13112647357048962,0.08479435400986068,0.059538083133405334,0.0954586210418963,0.09677223541591376,0.005906687506670695
0.04357117215453071,0.26472564485822664,0.11034771844927584,0.10759932732432598,0.1310833969399033,0.08479728633080068,0.05953893932838579,0.0954597440802814,0.0969645098554388,0.00591226067883084
0.043836685210791766,0.26458270850311366,0.11025867319801316,0.10781628638021959,0.13108260297814647,0.08486358439043919,0.05953908519899074,0.09546143267600017,0.09665563371700332,0.005903307747281987
