municipality,predicted_vote_party,point_estimate,lower_quartile,median,upper_quartile,sd_draws,n_distinct_draws
Aalborg,Danmarksdemokraterne (Æ),0.06097545121486892,0.06097632627022232,0.06097671284380579,0.06097707342737384,2.679157845580431e-5,250
Aalborg,Did not vote,0.045178448116546185,0.04486716343129274,0.04501927227269433,0.045175453613739515,2.499287748675921e-4,250
Aalborg,Other,0.006028975945697281,0.006029296894383113,0.0060311361415633785,0.006033277150748096,3.3675776531333652e-6,250
Aarhus,Other - Left,0.22295754898402473,0.2227957605892804,0.22284446872866653,0.2229310961902899,1.1766398785964494e-4,250
Aarhus,Socialdemokratiet (A),0.20067357697682625,0.20049978170084043,0.20067952620110643,0.2009378643945379,3.212947836426787e-4,250
Aarhus,Socialistisk Folkeparti (F),0.16917398578388299,0.1691781064258948,0.16917930715601917,0.16918104367480238,6.476348621178187e-5,250
Aarhus,Other - Right,0.08806230781114868,0.08795479181445268,0.08799781993751132,0.08803179234719373,5.8979192712535924e-5,250
Aarhus,Liberal Alliance (I),0.08551282235551567,0.08552963876483996,0.08559092203218353,0.08564006007752588,1.0831360510390136e-4,250
Aarhus,Venstre (V),0.08249807598195279,0.0824247118251202,0.08246155518362655,0.08254029402107377,9.549891909983109e-5,250
Aarhus,Moderaterne (M),0.07600629790926045,0.0760387541732977,0.07608395053438233,0.07616602486089806,1.0898033592169812e-4,250
Aarhus,Did not vote,0.04163016240717813,0.041291624459173476,0.041558360033959296,0.04174880793744221,3.239661481411428e-4,250
Aarhus,Danmarksdemokraterne (Æ),0.028526856851229868,0.028527407990784046,0.028527571991006286,0.028527759196524966,2.8415354201717135e-5,250
Aarhus,Other,0.0049583649389804635,0.004958852371134791,0.00496062869772446,0.0049620529888938034,3.1395247856203316e-6,250
Albertslund,Socialdemokratiet (A),0.2834827655992,0.2834150691713253,0.28354318823712216,0.2836752293687167,1.9395679631701521e-4,250
Albertslund,Socialistisk Folkeparti (F),0.15481547528970127,0.15481809405913988,0.15481931841624158,0.15482121866913817,5.0806086395391236e-5,250
Albertslund,Other - Left,0.12945736507012007,0.1293434734730452,0.1293751759953613,0.1294303397057036,7.543530452651716e-5,250
Albertslund,Liberal Alliance (I),0.09808926995031625,0.09803050086871483,0.09808359395448309,0.09813467002478324,9.436463321047961e-5,250
Albertslund,Other - Right,0.08105671911389137,0.08100370956632136,0.08104088344876317,0.08107108949228473,5.405773401813465e-5,250
Albertslund,Venstre (V),0.07288165089951885,0.07282465301457008,0.0728495842247539,0.07289860982342704,6.068201777548329e-5,250
Albertslund,Moderaterne (M),0.06387732209591379,0.0639030905762141,0.06393269334753961,0.06398070468205341,7.098417373440987e-5,250
Albertslund,Danmarksdemokraterne (Æ),0.056865686694966944,0.05686657982601108,0.05686693114896664,0.05686734263412366,2.4957800073703295e-5,250
Albertslund,Did not vote,0.05330783384948292,0.05314263302300785,0.05324003746138708,0.053377852025181485,1.9079686421290157e-4,250
Albertslund,Other,0.006165911436888592,0.006164207985247971,0.0061657469152702395,0.0061672273810760405,2.7352067597240477e-6,250
Allerød,Socialdemokratiet (A),0.2362143364181061,0.23608047280316952,0.23620509123685254,0.23632060179398914,2.0156166313015154e-4,250
Allerød,Venstre (V),0.15074401119084255,0.15070828906010905,0.15073043951009818,0.1507722951282046,6.409679659151143e-5,250
Allerød,Other - Left,0.12947718954920995,0.12933522077890633,0.12937145113964316,0.12941773974072213,7.972570009266915e-5,250
Allerød,Other - Right,0.12396446575404693,0.12378578907864443,0.12384056119769732,0.12388864814890127,8.315673233090023e-5,250
Allerød,Socialistisk Folkeparti (F),0.10848881643737998,0.1084905978399878,0.1084915485138256,0.10849326861329164,5.805590176915895e-5,250
Allerød,Moderaterne (M),0.10827803563750057,0.10830351200926401,0.10832920027125803,0.10838599484682865,6.753912736276444e-5,250
Allerød,Liberal Alliance (I),0.07263877856481013,0.07266882330366692,0.07274241640764559,0.07281456079890693,1.2370455134760988e-4,250
Allerød,Danmarksdemokraterne (Æ),0.03477416128423912,0.03477459561753038,0.034774818621945855,0.03477503578534664,2.864447039121305e-5,250
Allerød,Did not vote,0.02974827788180696,0.029661931758248845,0.029801987692768844,0.029907366796268497,2.0990063543927282e-4,250
Allerød,Other,0.005671927282057706,0.005672798144053556,0.0056749312775022116,0.0056770224192779035,3.5856391694959638e-6,250
Assens,Socialdemokratiet (A),0.3333874048248367,0.33336906350904844,0.3334337614105033,0.3334943596704627,1.1026774531161475e-4,250
Assens,Venstre (V),0.10935637709905545,0.1093269252197275,0.10934280245871456,0.10936609914306687,3.641353567024169e-5,250
Assens,Other - Right,0.10405103444679785,0.103911407004981,0.10395675893603418,0.10399778667572523,6.748571148496976e-5,250
Assens,Moderaterne (M),0.0950111808463459,0.0950293516830665,0.095045488635768,0.09507315672733403,4.5339350637206e-5,250
Assens,Liberal Alliance (I),0.09315741139699683,0.09317858646351798,0.0932364534262889,0.09329166367085512,1.0079553804498853e-4,250
Assens,Danmarksdemokraterne (Æ),0.07574041120218124,0.07574189190528079,0.07574237903056816,0.07574289471872153,2.381345928604586e-5,250
