MunicipalityCode,MunicipalityName,Age,Sex,Education,N
0120,Värmdö,71-104,Female,Tertiary 2yr+,586.2
0120,Värmdö,71-104,Female,Tertiary <2yr,536.0
0120,Värmdö,71-104,Female,Upper secondary,1416.0
0120,Värmdö,71-104,Male,Postgraduate,49.9
0120,Värmdö,71-104,Male,Primary 9-10yr,344.9
0120,Värmdö,71-104,Male,Primary <9yr,303.1
0120,Värmdö,71-104,Male,Tertiary 2yr+,501.3
0120,Värmdö,71-104,Male,Tertiary <2yr,406.0
0120,Värmdö,71-104,Male,Upper secondary,1316.3
0123,Järfälla,18-22,Female,Primary 9-10yr,1689.5
0123,Järfälla,18-22,Female,Primary <9yr,14.7
0123,Järfälla,18-22,Female,Tertiary 2yr+,221.0
0123,Järfälla,18-22,Female,Tertiary <2yr,628.1
0123,Järfälla,18-22,Female,Upper secondary,1711.9
0123,Järfälla,18-22,Male,Primary 9-10yr,2058.6
0123,Järfälla,18-22,Male,Primary <9yr,17.4
0123,Järfälla,18-22,Male,Tertiary 2yr+,145.9
0123,Järfälla,18-22,Male,Tertiary <2yr,458.9
0123,Järfälla,18-22,Male,Upper secondary,1896.3
0123,Järfälla,23-30,Female,Postgraduate,10.0
0123,Järfälla,23-30,Female,Primary 9-10yr,133.5
0123,Järfälla,23-30,Female,Primary <9yr,41.3
0123,Järfälla,23-30,Female,Tertiary 2yr+,1060.9
0123,Järfälla,23-30,Female,Tertiary <2yr,537.3
0123,Järfälla,23-30,Female,Upper secondary,804.7
0123,Järfälla,23-30,Male,Postgraduate,9.1
0123,Järfälla,23-30,Male,Primary 9-10yr,250.0
0123,Järfälla,23-30,Male,Primary <9yr,56.5
0123,Järfälla,23-30,Male,Tertiary 2yr+,658.8
0123,Järfälla,23-30,Male,Tertiary <2yr,571.9
0123,Järfälla,23-30,Male,Upper secondary,1080.2
0123,Järfälla,31-40,Female,Postgraduate,47.3
0123,Järfälla,31-40,Female,Primary 9-10yr,301.3
0123,Järfälla,31-40,Female,Primary <9yr,135.4
0123,Järfälla,31-40,Female,Tertiary 2yr+,2530.8
0123,Järfälla,31-40,Female,Tertiary <2yr,1134.7
0123,Järfälla,31-40,Female,Upper secondary,1767.5
0123,Järfälla,31-40,Male,Postgraduate,57.6
0123,Järfälla,31-40,Male,Primary 9-10yr,560.8
0123,Järfälla,31-40,Male,Primary <9yr,182.0
0123,Järfälla,31-40,Male,Tertiary 2yr+,1683.7
0123,Järfälla,31-40,Male,Tertiary <2yr,1281.4
0123,Järfälla,31-40,Male,Upper secondary,2355.2
0123,Järfälla,41-50,Female,Postgraduate,70.3
0123,Järfälla,41-50,Female,Primary 9-10yr,257.8
0123,Järfälla,41-50,Female,Primary <9yr,179.6
0123,Järfälla,41-50,Female,Tertiary 2yr+,2038.2
0123,Järfälla,41-50,Female,Tertiary <2yr,806.1
0123,Järfälla,41-50,Female,Upper secondary,1568.7
0123,Järfälla,41-50,Male,Postgraduate,94.6
0123,Järfälla,41-50,Male,Primary 9-10yr,461.7
0123,Järfälla,41-50,Male,Primary <9yr,211.4
0123,Järfälla,41-50,Male,Tertiary 2yr+,1496.0
0123,Järfälla,41-50,Male,Tertiary <2yr,972.9
0123,Järfälla,41-50,Male,Upper secondary,1973.9
0123,Järfälla,51-60,Female,Postgraduate,63.8
0123,Järfälla,51-60,Female,Primary 9-10yr,277.6
0123,Järfälla,51-60,Female,Primary <9yr,202.5
0123,Järfälla,51-60,Female,Tertiary 2yr+,1441.8
0123,Järfälla,51-60,Female,Tertiary <2yr,723.8
0123,Järfälla,51-60,Female,Upper secondary,1795.5
0123,Järfälla,51-60,Male,Postgraduate,77.9
0123,Järfälla,51-60,Male,Primary 9-10yr,425.2
0123,Järfälla,51-60,Male,Primary <9yr,182.4
0123,Järfälla,51-60,Male,Tertiary 2yr+,1065.0
0123,Järfälla,51-60,Male,Tertiary <2yr,829.4
0123,Järfälla,51-60,Male,Upper secondary,1896.0
0123,Järfälla,61-70,Female,Postgraduate,32.9
0123,Järfälla,61-70,Female,Primary 9-10yr,275.7
0123,Järfälla,61-70,Female,Primary <9yr,173.6
0123,Järfälla,61-70,Female,Tertiary 2yr+,762.9
0123,Järfälla,61-70,Female,Tertiary <2yr,591.0
0123,Järfälla,61-70,Female,Upper secondary,1507.4
0123,Järfälla,61-70,Male,Postgraduate,54.9
0123,Järfälla,61-70,Male,Primary 9-10yr,378.0
0123,Järfälla,61-70,Male,Primary <9yr,137.8
0123,Järfälla,61-70,Male,Tertiary 2yr+,681.4
0123,Järfälla,61-70,Male,Tertiary <2yr,649.0
0123,Järfälla,61-70,Male,Upper secondary,1533.7
0123,Järfälla,71-104,Female,Postgraduate,33.8
0123,Järfälla,71-104,Female,Primary 9-10yr,470.1
0123,Järfälla,71-104,Female,Primary <9yr,578.4
0123,Järfälla,71-104,Female,Tertiary 2yr+,909.3
0123,Järfälla,71-104,Female,Tertiary <2yr,813.5
0123,Järfälla,71-104,Female,Upper secondary,2188.7
0123,Järfälla,71-104,Male,Postgraduate,88.2
0123,Järfälla,71-104,Male,Primary 9-10yr,334.8
0123,Järfälla,71-104,Male,Primary <9yr,408.1
0123,Järfälla,71-104,Male,Tertiary 2yr+,812.7
0123,Järfälla,71-104,Male,Tertiary <2yr,555.2
0123,Järfälla,71-104,Male,Upper secondary,1807.9
0125,Ekerö,18-22,Female,Primary 9-10yr,774.6
0125,Ekerö,18-22,Female,Primary <9yr,1.1
0125,Ekerö,18-22,Female,Tertiary 2yr+,31.7
0125,Ekerö,18-22,Female,Tertiary <2yr,118.2
0125,Ekerö,18-22,Female,Upper secondary,551.3
0125,Ekerö,18-22,Male,Primary 9-10yr,869.9
0125,Ekerö,18-22,Male,Primary <9yr,3.2
0125,Ekerö,18-22,Male,Tertiary 2yr+,25.2
0125,Ekerö,18-22,Male,Tertiary <2yr,98.4
0125,Ekerö,18-22,Male,Upper secondary,684.2
0125,Ekerö,23-30,Female,Primary 9-10yr,12.6
0125,Ekerö,23-30,Female,Primary <9yr,3.5
0125,Ekerö,23-30,Female,Tertiary 2yr+,129.5
0125,Ekerö,23-30,Female,Tertiary <2yr,57.3
0125,Ekerö,23-30,Female,Upper secondary,106.0
0125,Ekerö,23-30,Male,Primary 9-10yr,31.4
0125,Ekerö,23-30,Male,Primary <9yr,5.0
0125,Ekerö,23-30,Male,Tertiary 2yr+,60.8
0125,Ekerö,23-30,Male,Tertiary <2yr,65.4
0125,Ekerö,23-30,Male,Upper secondary,171.5
0125,Ekerö,31-40,Female,Postgraduate,11.1
0125,Ekerö,31-40,Female,Primary 9-10yr,53.2
0125,Ekerö,31-40,Female,Primary <9yr,16.5
0125,Ekerö,31-40,Female,Tertiary 2yr+,701.5
0125,Ekerö,31-40,Female,Tertiary <2yr,271.9
0125,Ekerö,31-40,Female,Upper secondary,415.5
0125,Ekerö,31-40,Male,Postgraduate,8.0
0125,Ekerö,31-40,Male,Primary 9-10yr,111.0
0125,Ekerö,31-40,Male,Primary <9yr,16.0
0125,Ekerö,31-40,Male,Tertiary 2yr+,343.6
0125,Ekerö,31-40,Male,Tertiary <2yr,259.8
0125,Ekerö,31-40,Male,Upper secondary,500.1
0125,Ekerö,41-50,Female,Postgraduate,42.4
0125,Ekerö,41-50,Female,Primary 9-10yr,67.2
0125,Ekerö,41-50,Female,Primary <9yr,17.9
0125,Ekerö,41-50,Female,Tertiary 2yr+,958.7
0125,Ekerö,41-50,Female,Tertiary <2yr,317.6
0125,Ekerö,41-50,Female,Upper secondary,528.0
0125,Ekerö,41-50,Male,Postgraduate,26.0
0125,Ekerö,41-50,Male,Primary 9-10yr,153.6
0125,Ekerö,41-50,Male,Primary <9yr,14.5
0125,Ekerö,41-50,Male,Tertiary 2yr+,571.8
0125,Ekerö,41-50,Male,Tertiary <2yr,354.7
0125,Ekerö,41-50,Male,Upper secondary,653.9
0125,Ekerö,51-60,Female,Postgraduate,46.5
0125,Ekerö,51-60,Female,Primary 9-10yr,87.6
0125,Ekerö,51-60,Female,Primary <9yr,14.8
0125,Ekerö,51-60,Female,Tertiary 2yr+,778.3
0125,Ekerö,51-60,Female,Tertiary <2yr,336.2
0125,Ekerö,51-60,Female,Upper secondary,723.6
0125,Ekerö,51-60,Male,Postgraduate,33.8
0125,Ekerö,51-60,Male,Primary 9-10yr,195.5
0125,Ekerö,51-60,Male,Primary <9yr,12.1
0125,Ekerö,51-60,Male,Tertiary 2yr+,552.0
0125,Ekerö,51-60,Male,Tertiary <2yr,400.1
0125,Ekerö,51-60,Male,Upper secondary,854.6
0125,Ekerö,61-70,Female,Postgraduate,22.8
0125,Ekerö,61-70,Female,Primary 9-10yr,99.0
