draw,party,share
36,Æ: Danmarksdemokraterne,0.07279200779305214
36,Other,0.02482526324478861
37,Did not vote,0.04851099206964716
37,A: Socialdemokratiet,0.22513554099227132
37,Other - Left,0.1323951396334833
37,V: Venstre,0.11884620129360285
37,F: SF - Socialistisk Folkeparti,0.1073840592136418
37,Other - Right,0.12280542328363622
37,M: Moderaterne,0.08509575031872063
37,I: Liberal Alliance,0.0746730292562921
37,Æ: Danmarksdemokraterne,0.058594838197826384
37,Other,0.026559025740881495
38,Did not vote,0.039745908965487325
38,A: Socialdemokratiet,0.24706838651499463
38,Other - Left,0.138537967102378
38,V: Venstre,0.14029924622810508
38,F: SF - Socialistisk Folkeparti,0.07834539763654358
38,Other - Right,0.09551979857670918
38,M: Moderaterne,0.10488566651624161
38,I: Liberal Alliance,0.07308350733520697
38,Æ: Danmarksdemokraterne,0.057040123388922115
38,Other,0.025473997735417985
39,Did not vote,0.043326923176022956
39,A: Socialdemokratiet,0.221512243464478
39,Other - Left,0.1387910220432734
39,V: Venstre,0.12538664006427924
39,F: SF - Socialistisk Folkeparti,0.11227451327173217
39,Other - Right,0.0960263755112935
39,M: Moderaterne,0.09251447841634837
39,I: Liberal Alliance,0.06567753003369255
39,Æ: Danmarksdemokraterne,0.07644799907441588
39,Other,0.028042274944466487
40,Did not vote,0.04755648637702242
40,A: Socialdemokratiet,0.2235814700397733
40,Other - Left,0.1420322376600128
40,V: Venstre,0.12150386987356523
40,F: SF - Socialistisk Folkeparti,0.09358224305627284
40,Other - Right,0.09516340436434352
40,M: Moderaterne,0.09990980841730918
40,I: Liberal Alliance,0.07316760156646529
40,Æ: Danmarksdemokraterne,0.08206634913192738
40,Other,0.021436529513315438
41,Did not vote,0.048733033341024794
41,A: Socialdemokratiet,0.24199447344432112
41,Other - Left,0.12871123185313582
41,V: Venstre,0.11028186210238738
41,F: SF - Socialistisk Folkeparti,0.10833877453022417
41,Other - Right,0.09834385540762107
41,M: Moderaterne,0.09530909370519315
41,I: Liberal Alliance,0.07307141086620626
41,Æ: Danmarksdemokraterne,0.06379566508226828
41,Other,0.0314205996676243
42,Did not vote,0.03907919842041785
42,A: Socialdemokratiet,0.22391103952743477
42,Other - Left,0.13270362098850952
42,V: Venstre,0.12734703592641394
42,F: SF - Socialistisk Folkeparti,0.10901265001449702
42,Other - Right,0.10176382709272222
42,M: Moderaterne,0.086691383054585
42,I: Liberal Alliance,0.07835549905638896
42,Æ: Danmarksdemokraterne,0.07748240510078495
42,Other,0.02365334081825011
43,Did not vote,0.04397563293766412
43,A: Socialdemokratiet,0.27126763727150277
43,Other - Left,0.1302537032213816
43,V: Venstre,0.10632998162905885
43,F: SF - Socialistisk Folkeparti,0.10635669926484638
43,Other - Right,0.09556052211266008
43,M: Moderaterne,0.0845919508192578
43,I: Liberal Alliance,0.0712817439084426
43,Æ: Danmarksdemokraterne,0.06362373712181567
43,Other,0.026758391713376406
44,Did not vote,0.03993820145283219
44,A: Socialdemokratiet,0.23618923314265325
44,Other - Left,0.12472249887929694
44,V: Venstre,0.13493989738717724
44,F: SF - Socialistisk Folkeparti,0.11506011494130614
44,Other - Right,0.10424244045570952
44,M: Moderaterne,0.09024333431272094
44,I: Liberal Alliance,0.07357449781152198
44,Æ: Danmarksdemokraterne,0.0576706348472101
44,Other,0.023419146769575707
45,Did not vote,0.04224922360208615
45,A: Socialdemokratiet,0.27665100046709745
45,Other - Left,0.134955572255462
45,V: Venstre,0.1173036806919058
45,F: SF - Socialistisk Folkeparti,0.10456852295246723
45,Other - Right,0.08335296310534634
45,M: Moderaterne,0.08864249593293788
45,I: Liberal Alliance,0.06662458471290757
45,Æ: Danmarksdemokraterne,0.06132634016280521
45,Other,0.024325616116989718
46,Did not vote,0.041991226810515474
46,A: Socialdemokratiet,0.23468775158221725
46,Other - Left,0.12650818478753717
46,V: Venstre,0.12514130076136232
46,F: SF - Socialistisk Folkeparti,0.10606053162296306
46,Other - Right,0.10943201575101107
46,M: Moderaterne,0.09875159959450189
46,I: Liberal Alliance,0.0645542199831744
46,Æ: Danmarksdemokraterne,0.06576738135455838
46,Other,0.027105787752162793
47,Did not vote,0.04397205308317393
47,A: Socialdemokratiet,0.22064032294784497
47,Other - Left,0.13141293270057142
47,V: Venstre,0.14925466585777306
47,F: SF - Socialistisk Folkeparti,0.10486508840054744
47,Other - Right,0.09468133938898622
47,M: Moderaterne,0.08751107279378932
47,I: Liberal Alliance,0.07592633685778755
47,Æ: Danmarksdemokraterne,0.061364047540539354
47,Other,0.0303721404289898
48,Did not vote,0.046174286652253295
48,A: Socialdemokratiet,0.24874724724490557
48,Other - Left,0.13002020151030858
48,V: Venstre,0.13130534470880056
48,F: SF - Socialistisk Folkeparti,0.08999733238702123
48,Other - Right,0.09653512208629346
48,M: Moderaterne,0.09811167015700324
48,I: Liberal Alliance,0.07003447631302165
48,Æ: Danmarksdemokraterne,0.061912766868442284
48,Other,0.027161552071955593
49,Did not vote,0.046134141264718966
49,A: Socialdemokratiet,0.24146120362043338
49,Other - Left,0.1380685350132304
49,V: Venstre,0.1321533142639242
49,F: SF - Socialistisk Folkeparti,0.09966646924414709
49,Other - Right,0.10568973942034816
49,M: Moderaterne,0.0816480103902493
49,I: Liberal Alliance,0.06659204121794748
49,Æ: Danmarksdemokraterne,0.06535248356208466
49,Other,0.023234062002918953
50,Did not vote,0.05161006737119974
50,A: Socialdemokratiet,0.2036703718581821
50,Other - Left,0.12896659766734128
50,V: Venstre,0.11217929018887567
50,F: SF - Socialistisk Folkeparti,0.10877284895639011
50,Other - Right,0.10716683720339282
50,M: Moderaterne,0.11334071856516903
50,I: Liberal Alliance,0.08334241469732352
50,Æ: Danmarksdemokraterne,0.061199020199203764
50,Other,0.029751833292923947
51,Did not vote,0.04186915045689217
51,A: Socialdemokratiet,0.2311257174540779
