municipality,party,pct
Hjo,Left Party (V),0.03900335647163859
Hjo,Moderate Party (M),0.1840899521338334
Hjo,Other party,0.012770982311540538
Hjo,Social Democrats (S),0.2979283251598647
Hjo,Sweden Democrats (SD),0.22424893423342843
Hjo,The Liberals (L),0.03431854250680093
Hofors,Centre Party (C),0.03987865312210218
Hofors,Christian Democrats (KD),0.042828299809391505
Hofors,Green Party (MP),0.026812384544296054
Hofors,Left Party (V),0.08051921440824626
Hofors,Moderate Party (M),0.13353746035473513
Hofors,Other party,0.012034795715824328
Hofors,Social Democrats (S),0.3673135065206863
Hofors,Sweden Democrats (SD),0.2732029428297594
Hofors,The Liberals (L),0.023872742694958916
Huddinge,Centre Party (C),0.0687083864563413
Huddinge,Christian Democrats (KD),0.03842686655608491
Huddinge,Green Party (MP),0.06247588502050992
Huddinge,Left Party (V),0.08043317966367199
Huddinge,Moderate Party (M),0.20950397482112473
Huddinge,Other party,0.022130911172686694
Huddinge,Social Democrats (S),0.3010628844927881
Huddinge,Sweden Democrats (SD),0.16930213232760863
