municipality_code,municipality,age_group,gender,education_level,N
0120,Värmdö,18-22,Women,Upper secondary school,956.1
0120,Värmdö,23-30,Men,Postgraduate education,1.4
0120,Värmdö,23-30,Men,"Primary school, 9/10 years",76.8
0120,Värmdö,23-30,Men,"Primary school, shorter than 9 years",7.9
0120,Värmdö,23-30,Men,"Tertiary education, 2 years or longer",122.4
0120,Värmdö,23-30,Men,"Tertiary education, shorter than 2 years",141.8
0120,Värmdö,23-30,Men,Upper secondary school,396.6
0120,Värmdö,23-30,Women,Postgraduate education,1.7
0120,Värmdö,23-30,Women,"Primary school, 9/10 years",39.0
0120,Värmdö,23-30,Women,"Primary school, shorter than 9 years",5.6
0120,Värmdö,23-30,Women,"Tertiary education, 2 years or longer",266.5
0120,Värmdö,23-30,Women,"Tertiary education, shorter than 2 years",149.1
0120,Värmdö,23-30,Women,Upper secondary school,297.5
0120,Värmdö,31-40,Men,Postgraduate education,16.3
0120,Värmdö,31-40,Men,"Primary school, 9/10 years",247.9
0120,Värmdö,31-40,Men,"Primary school, shorter than 9 years",25.3
0120,Värmdö,31-40,Men,"Tertiary education, 2 years or longer",583.3
0120,Värmdö,31-40,Men,"Tertiary education, shorter than 2 years",543.9
0120,Värmdö,31-40,Men,Upper secondary school,1204.1
0120,Värmdö,31-40,Women,Postgraduate education,19.8
0120,Värmdö,31-40,Women,"Primary school, 9/10 years",116.8
0120,Värmdö,31-40,Women,"Primary school, shorter than 9 years",22.4
0120,Värmdö,31-40,Women,"Tertiary education, 2 years or longer",1133.4
0120,Värmdö,31-40,Women,"Tertiary education, shorter than 2 years",537.7
0120,Värmdö,31-40,Women,Upper secondary school,917.6
0120,Värmdö,41-50,Men,Postgraduate education,24.9
0120,Värmdö,41-50,Men,"Primary school, 9/10 years",233.1
0120,Värmdö,41-50,Men,"Primary school, shorter than 9 years",19.6
0120,Värmdö,41-50,Men,"Tertiary education, 2 years or longer",761.2
0120,Värmdö,41-50,Men,"Tertiary education, shorter than 2 years",549.2
0120,Värmdö,41-50,Men,Upper secondary school,1178.2
0120,Värmdö,41-50,Women,Postgraduate education,36.7
0120,Värmdö,41-50,Women,"Primary school, 9/10 years",99.0
0120,Värmdö,41-50,Women,"Primary school, shorter than 9 years",30.4
0120,Värmdö,41-50,Women,"Tertiary education, 2 years or longer",1279.5
0120,Värmdö,41-50,Women,"Tertiary education, shorter than 2 years",519.3
0120,Värmdö,41-50,Women,Upper secondary school,919.9
0120,Värmdö,51-60,Men,Postgraduate education,28.6
0120,Värmdö,51-60,Men,"Primary school, 9/10 years",321.2
